IsAccepted,Publication,DeputyEditorGender,AssociateEditorGender,FirstAuthorGender,CorrespondingAuthorPrestige,CorrespondingAuthorGender,CorrespondingAuthorRegion,NumberOfAuthors,BORERating1,BORERating2,BOREConfidence1,BOREConfidence2,BOREExists1,BOREExists2,BOREGender1,BOREGender2,Evaluation1,Evaluation2,ReviewSentiment1,ReviewSentiment2,ReviewSentimentTrajectory1,ReviewSentimentTrajectory2,ReviewLength1,ReviewLength2,Topic100,Topic30,Topic10,ReviewExists1,ReviewExists2,ReviewerGender1,ReviewerGender2,ReviewerPrestige1,ReviewerPrestige2
0,Science,M,Null,M,[7-10],M,Europe,[1-5],8.0,7.0,4.0,5.0,1.0,1.0,M,M,Null,Null,Null,Null,Null,Null,Null,Null,17,10,9,0,0,Null,Null,Null,Null
0,Science Advances,M,Null,M,[1-2],M,U.S.+Canada,10+,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,80,3,2,0,0,Null,Null,Null,Null
1,Science,W,Null,M,[1-2],W,U.S.+Canada,[1-5],Null,Null,Null,Null,0.0,0.0,Null,Null,Excellent and exciting,Excellent and exciting,2.5,2.25,Null,UDF,-1.25,-1.25,83,0,2,1,1,M,W,[5-6],[3-4]
1,Science Advances,M,M,W,[1-2],M,U.S.+Canada,[6-9],Null,Null,Null,Null,Null,Null,Null,Null,Excellent and exciting,Excellent and exciting,1.0,1.75,DU,DF,-0.75,-0.75,80,3,2,1,1,W,W,[1-2],[1-2]
0,Science Advances,M,Null,M,[7-10],W,Other,[6-9],Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,98,4,8,0,0,Null,Null,Null,Null
0,Science,M,Null,M,Null,W,Null,[1-5],4.0,Null,5.0,Null,1.0,0.0,M,Null,Null,Null,Null,Null,Null,Null,Null,Null,94,20,6,0,0,Null,Null,Null,Null
0,Science Advances,W,Null,M,Null,W,China,10+,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,51,12,1,0,0,Null,Null,Null,Null
0,Science,M,Null,M,[5-6],M,U.S.+Canada,[6-9],5.0,Null,5.0,Null,1.0,0.0,M,Null,Null,Null,Null,Null,Null,Null,Null,Null,31,5,7,0,0,Null,Null,Null,Null
0,Science,M,Null,M,[1-2],M,Europe,[1-5],5.0,4.0,3.0,5.0,1.0,1.0,M,M,Null,Null,Null,Null,Null,Null,Null,Null,26,13,3,0,0,Null,Null,Null,Null
1,Science,M,Null,M,[3-4],M,Europe,[6-9],8.0,9.0,4.0,5.0,1.0,1.0,M,M,Excellent and exciting,Excellent and exciting,0.0,1.75,U,FD,-1.0,0.5,62,2,2,1,1,W,M,[3-4],Null
0,Science,M,Null,M,[7-10],M,Europe,[6-9],Null,Null,Null,Null,0.0,0.0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,68,28,8,0,0,Null,Null,Null,Null
0,Science Advances,M,M,M,[7-10],M,Other,[6-9],Null,Null,Null,Null,Null,Null,Null,Null,Above average,Mediocre or poor,-0.25,-1.25,Null,UDF,-1.5,2.5,69,7,6,1,1,M,W,[3-4],[3-4]
0,Science,W,Null,W,[7-10],M,China,10+,5.0,Null,3.0,Null,1.0,0.0,M,Null,Null,Null,Null,Null,Null,Null,Null,Null,18,0,2,0,0,Null,Null,Null,Null
0,Science,W,Null,W,Null,M,China,10+,Null,Null,Null,Null,0.0,0.0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,74,11,7,0,0,Null,Null,Null,Null
0,Science,M,Null,W,[7-10],W,Europe,10+,7.0,Null,3.0,Null,1.0,0.0,W,Null,Null,Null,Null,Null,Null,Null,Null,Null,71,28,8,0,0,Null,Null,Null,Null
0,Science Advances,W,Null,M,[3-4],M,Europe,10+,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,83,0,2,0,0,Null,Null,Null,Null
0,Science Advances,W,Null,W,Null,M,China,10+,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,90,11,7,0,0,Null,Null,Null,Null
0,Science Advances,M,Null,W,[7-10],M,Other,[1-5],Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,78,8,9,0,0,Null,Null,Null,Null
0,Science,M,Null,W,[7-10],M,Europe,10+,Null,Null,Null,Null,0.0,0.0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,42,27,6,0,0,Null,Null,Null,Null
0,Science,W,Null,M,Null,M,Null,10+,2.0,8.0,5.0,3.0,1.0,1.0,M,M,Null,Null,Null,Null,Null,Null,Null,Null,10,2,0,0,0,Null,Null,Null,Null
0,Science Advances,M,M,M,[7-10],M,China,[6-9],Null,Null,Null,Null,Null,Null,Null,Null,Above average,Mediocre or poor,1.25,-1.0,DUD,DFU,-0.75,0.25,42,27,6,1,1,M,M,[1-2],[1-2]
0,Science,M,Null,M,[1-2],M,U.S.+Canada,[1-5],3.0,Null,5.0,Null,1.0,0.0,M,Null,Null,Null,Null,Null,Null,Null,Null,Null,78,8,9,0,0,Null,Null,Null,Null
0,Science,M,Null,M,[1-2],M,U.S.+Canada,[1-5],8.0,4.0,5.0,5.0,1.0,1.0,W,M,Average,Above average,-0.5,-1.75,DF,UDF,-0.25,1.25,21,25,3,1,1,M,M,[1-2],[1-2]
0,Science,M,Null,W,[7-10],M,Other,[6-9],5.0,Null,3.0,Null,1.0,0.0,M,Null,Null,Null,Null,Null,Null,Null,Null,Null,71,28,8,0,0,Null,Null,Null,Null
0,Science Advances,M,Null,M,[5-6],M,China,10+,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,6,13,3,0,0,Null,Null,Null,Null
0,Science,W,Null,M,[1-2],M,U.S.+Canada,[1-5],2.0,Null,5.0,Null,1.0,0.0,M,Null,Null,Null,Null,Null,Null,Null,Null,Null,21,25,3,0,0,Null,Null,Null,Null
0,Science Advances,M,Null,W,[5-6],W,China,10+,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,54,24,2,0,0,Null,Null,Null,Null
0,Science Advances,M,Null,W,[7-10],W,U.S.+Canada,10+,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,41,28,8,0,0,Null,Null,Null,Null
0,Science,W,Null,M,Null,M,Other,[1-5],Null,Null,Null,Null,0.0,0.0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,63,26,9,0,0,Null,Null,Null,Null
0,Science,W,Null,M,[7-10],M,Europe,[1-5],Null,Null,Null,Null,0.0,0.0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,50,21,5,0,0,Null,Null,Null,Null
0,Science Advances,M,Null,W,[7-10],W,Europe,10+,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,46,8,9,0,0,Null,Null,Null,Null
0,Science,M,Null,M,[5-6],M,U.S.+Canada,[1-5],5.0,Null,5.0,Null,1.0,0.0,W,Null,Null,Null,Null,Null,Null,Null,Null,Null,83,0,2,0,0,Null,Null,Null,Null
0,Science Advances,M,Null,M,[5-6],M,China,[1-5],Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,75,9,5,0,0,Null,Null,Null,Null
0,Science Advances,M,Null,M,Null,M,Europe,[1-5],Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,48,23,4,0,0,Null,Null,Null,Null
0,Science,M,Null,M,[1-2],M,Other,[1-5],4.0,Null,3.0,Null,1.0,0.0,M,Null,Null,Null,Null,Null,Null,Null,Null,Null,6,13,3,0,0,Null,Null,Null,Null
0,Science,W,Null,M,[5-6],W,Europe,[1-5],5.0,5.0,4.0,4.0,1.0,1.0,M,W,Null,Null,Null,Null,Null,Null,Null,Null,62,2,2,0,0,Null,Null,Null,Null
0,Science,M,Null,M,Null,M,Null,10+,5.0,Null,4.0,Null,1.0,0.0,M,Null,Null,Null,Null,Null,Null,Null,Null,Null,4,24,2,0,0,Null,Null,Null,Null
0,Science,W,Null,M,[5-6],M,Europe,10+,7.0,Null,3.0,Null,1.0,0.0,M,Null,Null,Null,Null,Null,Null,Null,Null,Null,39,5,7,0,0,Null,Null,Null,Null
0,Science Advances,M,M,M,[1-2],W,U.S.+Canada,[1-5],Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,56,9,5,0,0,Null,Null,Null,Null
0,Science Advances,W,M,M,[5-6],M,Other,10+,Null,Null,Null,Null,Null,Null,Null,Null,Above average,Null,0.75,Null,F,Null,-0.75,Null,82,1,1,1,0,M,Null,[1-2],Null
0,Science Advances,M,Null,M,[7-10],M,Europe,[1-5],Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,21,25,3,0,0,Null,Null,Null,Null
1,Science,M,Null,M,[1-2],M,U.S.+Canada,[1-5],9.0,Null,5.0,Null,1.0,0.0,M,Null,Excellent and exciting,No rating assigned,1.25,-1.75,UDF,UDF,0.75,-1.0,87,8,9,1,1,M,M,[3-4],[1-2]
0,Science,M,Null,M,[5-6],W,U.S.+Canada,10+,6.0,Null,4.0,Null,1.0,0.0,M,Null,Null,Null,Null,Null,Null,Null,Null,Null,14,12,1,0,0,Null,Null,Null,Null
0,Science Advances,M,Null,M,[1-2],M,Europe,[6-9],Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,44,19,6,0,0,Null,Null,Null,Null
0,Science,W,Null,W,[1-2],W,U.S.+Canada,10+,8.0,4.0,4.0,4.0,1.0,1.0,M,W,Null,Null,Null,Null,Null,Null,Null,Null,18,0,2,0,0,Null,Null,Null,Null
0,Science,W,Null,W,[5-6],M,Europe,[1-5],4.0,6.0,5.0,4.0,1.0,1.0,M,W,Null,Null,Null,Null,Null,Null,Null,Null,67,8,2,0,0,Null,Null,Null,Null
0,Science,W,Null,W,[5-6],M,China,[6-9],6.0,Null,4.0,Null,1.0,0.0,M,Null,Null,Null,Null,Null,Null,Null,Null,Null,74,11,7,0,0,Null,Null,Null,Null
0,Science Advances,M,M,W,[7-10],M,U.S.+Canada,10+,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,37,4,5,0,0,Null,Null,Null,Null
1,Science,W,Null,M,[5-6],M,Other,[1-5],9.0,Null,5.0,Null,1.0,0.0,M,Null,Excellent and exciting,Excellent and exciting,1.25,0.75,DUD,DFU,-0.25,3.5,39,5,7,1,1,M,M,[5-6],[7-10]
0,Science,M,Null,M,Null,M,Other,[1-5],Null,Null,Null,Null,0.0,0.0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,52,6,6,0,0,Null,Null,Null,Null
0,Science,M,Null,M,[7-10],M,China,[6-9],5.0,Null,5.0,Null,1.0,0.0,M,Null,Null,Null,Null,Null,Null,Null,Null,Null,37,4,5,0,0,Null,Null,Null,Null
0,Science,M,Null,W,[7-10],M,U.S.+Canada,[6-9],5.0,Null,5.0,Null,1.0,0.0,M,Null,Null,Null,Null,Null,Null,Null,Null,Null,47,19,6,0,0,Null,Null,Null,Null
0,Science Advances,M,Null,M,Null,M,Other,[1-5],Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,24,19,6,0,0,Null,Null,Null,Null
0,Science Advances,M,M,M,[7-10],M,Europe,[6-9],Null,Null,Null,Null,Null,Null,Null,Null,Mediocre or poor,Mediocre or poor,-0.5,0.0,DFU,UDF,0.0,0.25,20,15,0,1,1,M,W,[5-6],[5-6]
0,Science,M,Null,W,[1-2],W,U.S.+Canada,[1-5],5.0,4.0,5.0,5.0,1.0,1.0,M,M,Null,Null,Null,Null,Null,Null,Null,Null,88,10,9,0,0,Null,Null,Null,Null
0,Science Advances,W,Null,M,[1-2],W,U.S.+Canada,[6-9],Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,45,10,9,0,0,Null,Null,Null,Null
0,Science Advances,W,W,W,[3-4],M,Other,[1-5],Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,9,1,1,0,0,Null,Null,Null,Null
0,Science,W,Null,M,[3-4],M,U.S.+Canada,10+,8.0,8.0,3.0,5.0,1.0,1.0,M,M,Average,Above average,-1.0,-0.5,DF,UDF,0.0,-0.75,82,1,1,1,1,M,M,[5-6],[7-10]
0,Science Advances,W,Null,M,Null,M,Other,10+,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,38,21,5,0,0,Null,Null,Null,Null
0,Science Advances,M,Null,M,[5-6],M,Other,[1-5],Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,75,9,5,0,0,Null,Null,Null,Null
0,Science Advances,M,M,W,[7-10],W,Europe,[1-5],Null,Null,Null,Null,Null,Null,Null,Null,Excellent and exciting,Average,-0.5,-1.5,UD,DUD,0.5,-0.25,42,27,6,1,1,W,M,[3-4],[3-4]
0,Science,M,Null,M,[1-2],W,U.S.+Canada,10+,8.0,Null,3.0,Null,1.0,0.0,M,Null,Null,Null,Null,Null,Null,Null,Null,Null,93,2,2,0,0,Null,Null,Null,Null
0,Science Advances,M,Null,M,[7-10],M,China,[1-5],Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,83,0,0,0,0,Null,Null,Null,Null
1,Science,M,Null,M,[5-6],M,Europe,10+,6.0,7.0,5.0,4.0,1.0,1.0,W,W,Excellent and exciting,Above average,-0.5,-0.5,DFU,UDF,2.25,-0.75,96,29,7,1,1,M,M,[1-2],[1-2]
0,Science Advances,M,Null,W,[3-4],M,U.S.+Canada,10+,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,9,1,1,0,0,Null,Null,Null,Null
0,Science,W,Null,W,[1-2],W,Europe,[6-9],8.0,Null,5.0,Null,1.0,0.0,M,Null,Null,Null,Null,Null,Null,Null,Null,Null,72,18,7,0,0,Null,Null,Null,Null
0,Science Advances,M,Null,M,Null,W,Null,[6-9],Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,34,3,2,0,0,Null,Null,Null,Null
0,Science,M,Null,M,[7-10],W,China,[1-5],Null,Null,Null,Null,0.0,0.0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,51,12,1,0,0,Null,Null,Null,Null
0,Science,M,Null,W,[7-10],W,Europe,[1-5],5.0,Null,5.0,Null,1.0,0.0,M,Null,Null,Null,Null,Null,Null,Null,Null,Null,69,7,6,0,0,Null,Null,Null,Null
0,Science Advances,W,Null,M,[7-10],W,Europe,10+,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,63,26,2,0,0,Null,Null,Null,Null
0,Science,M,Null,W,Null,M,U.S.+Canada,[1-5],Null,Null,Null,Null,0.0,0.0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,65,13,3,0,0,Null,Null,Null,Null
0,Science,M,Null,W,[1-2],M,U.S.+Canada,[6-9],Null,Null,Null,Null,0.0,0.0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,90,11,7,0,0,Null,Null,Null,Null
0,Science,M,Null,M,[7-10],M,Europe,10+,4.0,Null,4.0,Null,1.0,0.0,W,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,15,0,0,0,Null,Null,Null,Null
0,Science Advances,W,Null,M,[7-10],M,Other,[6-9],Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,15,6,5,0,0,Null,Null,Null,Null
1,Science Advances,M,Null,M,[1-2],M,U.S.+Canada,[1-5],Null,Null,Null,Null,Null,Null,Null,Null,Excellent and exciting,Above average,1.0,-0.5,UD,UDF,-0.75,0.25,68,22,1,1,1,M,M,[1-2],[7-10]
0,Science,M,Null,M,[1-2],M,U.S.+Canada,10+,Null,Null,Null,Null,0.0,0.0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,13,28,8,0,0,Null,Null,Null,Null
0,Science,M,Null,M,[7-10],M,Europe,[6-9],5.0,Null,3.0,Null,1.0,0.0,M,Null,Null,Null,Null,Null,Null,Null,Null,Null,71,28,8,0,0,Null,Null,Null,Null
0,Science,M,Null,W,Null,M,Europe,[1-5],Null,Null,Null,Null,0.0,0.0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,43,21,5,0,0,Null,Null,Null,Null
0,Science Advances,M,Null,M,[3-4],M,China,10+,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,36,18,7,0,0,Null,Null,Null,Null
0,Science,M,Null,M,Null,M,Null,[1-5],7.0,Null,5.0,Null,1.0,0.0,M,Null,Null,Null,Null,Null,Null,Null,Null,Null,65,13,3,0,0,Null,Null,Null,Null
0,Science,M,Null,M,[7-10],M,U.S.+Canada,[1-5],8.0,Null,4.0,Null,1.0,0.0,M,Null,Above average,Above average,0.25,-1.25,DFU,DF,-0.75,-0.5,43,21,5,1,1,M,W,[1-2],Null
0,Science,M,Null,M,[3-4],M,U.S.+Canada,[1-5],Null,Null,Null,Null,0.0,0.0,Null,Null,Too specialized,Above average,0.5,-0.25,DF,UF,2.0,-0.5,71,17,8,1,1,M,M,[5-6],[7-10]
1,Science Advances,M,Null,M,[7-10],M,China,[1-5],Null,Null,Null,Null,Null,Null,Null,Null,Excellent and exciting,Average,1.0,0.25,DUD,UD,-0.25,-0.75,30,21,5,1,1,M,M,[5-6],[7-10]
0,Science Advances,M,M,M,[7-10],M,China,[1-5],Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,32,22,1,0,0,Null,Null,Null,Null
0,Science Advances,M,Null,M,Null,M,Null,[6-9],Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,71,28,8,0,0,Null,Null,Null,Null
0,Science Advances,W,Null,W,Null,W,Other,[6-9],Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,22,24,9,0,0,Null,Null,Null,Null
0,Science Advances,M,M,M,[5-6],M,China,[6-9],Null,Null,Null,Null,Null,Null,Null,Null,Mediocre or poor,Above average,-2.0,1.25,UF,UDF,-1.25,-0.75,56,14,1,1,1,W,W,[1-2],[7-10]
0,Science,M,Null,M,[1-2],M,Null,[1-5],3.0,Null,4.0,Null,1.0,0.0,M,Null,Null,Null,Null,Null,Null,Null,Null,Null,87,8,9,0,0,Null,Null,Null,Null
0,Science,M,Null,M,[1-2],M,U.S.+Canada,[1-5],Null,Null,Null,Null,0.0,0.0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,77,16,4,0,0,Null,Null,Null,Null
0,Science,M,Null,M,[1-2],M,Europe,[1-5],2.0,6.0,5.0,3.0,1.0,1.0,M,M,Null,Null,Null,Null,Null,Null,Null,Null,6,13,3,0,0,Null,Null,Null,Null
0,Science,M,Null,M,[7-10],M,Europe,[1-5],2.0,Null,5.0,Null,1.0,0.0,M,Null,Null,Null,Null,Null,Null,Null,Null,Null,32,22,1,0,0,Null,Null,Null,Null
0,Science,M,Null,W,[7-10],W,China,[1-5],Null,Null,Null,Null,0.0,0.0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,55,23,4,0,0,Null,Null,Null,Null
0,Science,W,Null,W,[1-2],W,Europe,[6-9],6.0,8.0,5.0,2.0,1.0,1.0,M,M,Null,Null,Null,Null,Null,Null,Null,Null,5,29,7,0,0,Null,Null,Null,Null
0,Science,M,Null,M,[7-10],M,Other,[1-5],4.0,Null,4.0,Null,1.0,0.0,M,Null,Null,Null,Null,Null,Null,Null,Null,Null,61,22,1,0,0,Null,Null,Null,Null
0,Science Advances,M,Null,M,[1-2],W,U.S.+Canada,[6-9],Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,70,15,0,0,0,Null,Null,Null,Null
0,Science,W,Null,M,[3-4],M,U.S.+Canada,[6-9],8.0,8.0,2.0,5.0,1.0,1.0,M,M,Excellent and exciting,Mediocre or poor,1.5,-1.5,DF,DUDF,-0.75,-0.25,10,26,0,1,1,M,M,[5-6],[1-2]
0,Science,W,Null,M,[7-10],M,Europe,10+,Null,Null,Null,Null,0.0,0.0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,80,3,2,0,0,Null,Null,Null,Null
0,Science Advances,M,Null,W,[7-10],M,U.S.+Canada,[1-5],Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,36,18,7,0,0,Null,Null,Null,Null
0,Science,M,Null,M,Null,M,Other,[1-5],6.0,Null,3.0,Null,1.0,0.0,W,Null,Null,Null,Null,Null,Null,Null,Null,Null,44,19,6,0,0,Null,Null,Null,Null
0,Science,M,Null,W,[5-6],W,Null,[6-9],8.0,Null,5.0,Null,1.0,0.0,W,Null,Too specialized,Too specialized,1.0,0.5,DUD,DUD,-0.25,0.25,73,7,6,1,1,M,M,[5-6],[1-2]
0,Science,W,Null,M,[5-6],M,Europe,10+,6.0,Null,3.0,Null,1.0,0.0,M,Null,Average,Average,1.0,-1.25,UDF,DF,-1.0,0.25,21,25,3,1,1,M,W,[5-6],[1-2]
0,Science Advances,M,W,M,Null,M,Europe,[1-5],Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,66,13,3,0,0,Null,Null,Null,Null
0,Science Advances,W,W,M,[5-6],M,China,[6-9],Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,9,1,1,0,0,Null,Null,Null,Null
0,Science,W,Null,M,[7-10],W,Other,[1-5],8.0,7.0,5.0,4.0,1.0,1.0,M,M,Null,Null,Null,Null,Null,Null,Null,Null,10,15,0,0,0,Null,Null,Null,Null
0,Science Advances,W,Null,M,[5-6],M,Other,[1-5],Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,9,1,1,0,0,Null,Null,Null,Null
0,Science,W,Null,W,[1-2],M,U.S.+Canada,10+,5.0,Null,4.0,Null,1.0,0.0,W,Null,Null,Null,Null,Null,Null,Null,Null,Null,67,24,2,0,0,Null,Null,Null,Null
1,Science,W,Null,W,[3-4],M,Europe,[6-9],6.0,7.0,3.0,5.0,1.0,1.0,M,M,Excellent and exciting,Above average,0.25,0.0,DUD,UDF,-0.5,-0.25,2,26,2,1,1,W,M,[1-2],[5-6]
0,Science,M,Null,M,[7-10],M,Europe,10+,4.0,Null,5.0,Null,1.0,0.0,W,Null,Average,Mediocre or poor,0.0,0.25,DUD,UD,2.25,1.25,7,16,4,1,1,M,M,[5-6],Null
0,Science,M,Null,M,[7-10],M,Europe,[6-9],6.0,Null,5.0,Null,1.0,0.0,M,Null,Null,Null,Null,Null,Null,Null,Null,Null,24,19,4,0,0,Null,Null,Null,Null
0,Science,W,Null,W,[5-6],M,China,[6-9],8.0,5.0,2.0,4.0,1.0,1.0,M,W,Null,Null,Null,Null,Null,Null,Null,Null,60,8,9,0,0,Null,Null,Null,Null
1,Science Advances,M,W,M,[3-4],M,Europe,[6-9],Null,Null,Null,Null,Null,Null,Null,Null,Above average,Too specialized,-1.0,-0.75,UDF,DF,-0.25,-0.75,81,13,3,1,1,M,M,[5-6],[5-6]
0,Science,W,Null,M,[7-10],M,U.S.+Canada,10+,3.0,6.0,4.0,1.0,1.0,1.0,M,M,Null,Null,Null,Null,Null,Null,Null,Null,89,15,0,0,0,Null,Null,Null,Null
0,Science,W,Null,M,[5-6],M,Other,[1-5],2.0,Null,5.0,Null,1.0,0.0,M,Null,Null,Null,Null,Null,Null,Null,Null,Null,93,3,2,0,0,Null,Null,Null,Null
0,Science,W,Null,W,[1-2],W,U.S.+Canada,10+,Null,Null,Null,Null,0.0,0.0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,39,5,5,0,0,Null,Null,Null,Null
0,Science Advances,M,M,M,[3-4],M,China,[1-5],Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,94,20,6,0,0,Null,Null,Null,Null
0,Science Advances,M,Null,W,[5-6],M,U.S.+Canada,[6-9],Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,20,15,0,0,0,Null,Null,Null,Null
0,Science,M,Null,M,[5-6],M,U.S.+Canada,[1-5],6.0,Null,4.0,Null,1.0,0.0,M,Null,Null,Null,Null,Null,Null,Null,Null,Null,61,14,1,0,0,Null,Null,Null,Null
